loc,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva,wol
0,55,27,33,100,0,24,36,51.09,14,16,113.94,16,7,9,8,1
1,47.36,30,27,100,0,30,20,44.87,11,15,108.38,17,18,6,6,1
0,55,27,33,100,0,28,34,43.01,18,16,104.76,7,23,0,4,1
1,52.85,33,37,100,0,29,41,43.69,13,22,111.89,13,11,9,19,1
1,45,33,27,100,0,34,28,56.99,16,18,95.24,17,11,3,5,0
0,52.63,27,30,100,0,20,30,55.13,15,11,91.62,18,12,5,2,0
1,53.48,20,23,50,0,32,25,45.68,13,11,100,13,19,10,15,0
1,41.93,36,26,50,0,31,36,43.88,13,25,106.9,27,18,6,9,1
1,48.48,34,32,0,25,47,28,58.62,20,16,104.16,21,16,9,28,1
0,51.51,32,34,75,100,28,47,41.38,16,20,95.84,20,18,6,17,0
1,42.64,39,29,33.33,33.33,21,30,45.57,12,20,102.75,34,13,7,16,0
0,58.06,26,36,100,50,36,31,56.12,25,13,93.1,16,8,5,4,0
1,51.51,32,34,100,0,33,38,46.73,15,19,113.34,14,14,13,9,1
0,52.94,24,27,75,0,40,30,48.96,16,13,103.7,28,18,5,3,0
0,48.48,34,32,100,0,38,33,53.27,19,15,86.66,40,14,11,10,0
1,47.05,27,24,100,25,30,40,51.04,13,16,96.3,19,14,9,4,1
1,49.23,33,32,100,0,42,36,45.92,12,22,96.31,30,25,6,7,0
0,50.76,32,33,100,0,36,42,54.08,22,12,103.69,19,19,0,3,1
1,50.63,39,40,50,0,43,34,63.3,31,17,103.52,20,8,4,14,0
1,55.17,26,32,100,0,25,20,52.44,18,14,108.38,12,12,7,4,1
1,50,28,28,100,0,35,24,60,19,15,95,28,6,4,11,0
1,62.9,23,39,50,0,42,18,75.73,26,11,96.93,27,6,7,9,1
0,44.82,32,26,100,0,20,25,47.56,14,18,91.62,17,17,8,6,0
0,37.09,39,23,100,50,18,42,24.27,11,26,103.07,18,24,1,19,0
0,50,28,28,100,0,24,35,40,15,19,105,19,8,4,6,1
0,49.36,40,39,100,50,34,43,36.7,17,31,96.48,37,15,7,6,1
1,54.68,29,35,80,50,35,38,49.47,18,13,87.32,24,15,6,16,0
1,50.79,31,32,100,0,39,26,60.92,14,19,94.74,14,9,3,9,0
1,49.05,27,26,100,0,41,27,60.42,21,8,82.83,19,11,6,5,0
0,49.2,32,31,100,0,26,39,39.08,19,14,105.26,15,15,2,8,1
0,45.31,35,29,50,20,38,35,50.53,13,18,112.68,17,15,5,9,1
0,50.94,26,27,100,0,27,41,39.58,8,21,117.17,23,15,5,6,1
0,52.11,34,37,100,33.33,33,30,43.12,18,16,95.31,23,21,14,1,0
1,50,28,28,100,0,36,36,45.13,7,22,100.01,17,21,3,13,1
1,59.7,27,40,50,60,41,36,52.13,14,15,96.55,19,13,8,13,0
1,46.55,31,27,100,33.33,33,33,48.35,16,10,107.14,17,15,11,5,1
1,50,29,29,100,0,44,25,54.64,15,19,98.94,16,13,12,9,1
1,47.88,37,34,66.66,0,30,33,56.88,16,18,104.69,13,14,4,11,1
0,45.31,35,29,83.33,66.66,28,25,45.21,16,17,109.03,12,13,16,12,1
0,40.29,40,27,40,50,36,41,47.87,15,14,103.45,10,18,9,9,1
0,50,29,29,100,0,25,44,45.36,19,15,101.06,25,21,5,10,0
0,53.44,27,31,66.66,0,33,33,51.65,10,16,92.86,18,11,4,4,0
1,54.68,29,35,33.33,16.66,25,28,54.79,17,16,90.97,17,14,9,15,0
1,54.23,27,32,50,0,30,35,50,16,14,84.35,29,3,1,10,0
0,50,28,28,100,0,36,36,54.87,22,7,100.01,19,10,6,8,0
0,45.76,32,27,100,50,35,30,50,14,16,115.65,24,11,5,1,1
1,46.15,28,24,100,0,29,16,62.92,17,13,75,37,11,16,18,0
0,53.84,24,28,100,0,16,29,37.08,13,17,125,14,13,11,10,1
1,58.33,20,28,50,0,20,22,61.73,13,9,106.25,46,13,6,3,1
0,39.43,43,28,100,66.66,29,30,45.16,18,14,100.45,16,24,2,9,1
0,46.57,39,34,33.33,0,30,39,45.19,15,24,99.24,41,15,7,6,0
1,53.42,34,39,100,66.66,39,30,54.81,24,15,100.76,23,18,5,10,1
1,60.56,28,43,33.33,0,30,29,54.84,14,18,99.55,19,12,4,13,0
0,41.66,28,20,100,50,22,20,38.27,9,13,93.75,24,20,3,4,0
1,50,29,29,66.66,0,25,30,48,17,8,111.67,28,15,7,8,1
0,42.37,34,25,100,50,31,31,57.58,14,16,94.05,21,12,1,10,0
1,52.05,35,38,33.33,25,45,40,58.06,24,18,93.55,28,17,9,10,0
0,45.45,36,30,0,0,28,25,47.27,18,18,91.34,28,22,8,4,0
1,54.54,30,36,100,100,25,28,52.73,18,18,108.66,17,17,2,6,1
0,43.24,42,32,100,0,39,35,50.39,16,27,111.75,19,20,10,15,1
1,56.75,32,42,100,0,35,39,49.61,27,16,88.25,20,22,4,13,0
1,57.62,25,34,50,0,31,31,42.42,16,14,105.95,19,25,7,15,1
0,47.94,38,35,75,66.66,40,45,41.94,18,24,106.45,26,33,8,11,1
0,50,29,29,100,33.33,30,25,52,8,17,88.33,20,10,8,5,0
1,44.64,31,25,100,50,32,31,47.52,17,10,88.46,13,12,14,12,0
0,55.35,25,31,50,0,31,32,52.48,10,17,111.54,19,24,9,15,1
0,39.58,29,19,50,0,30,33,48.86,8,17,117,19,9,8,4,1
1,36.73,31,18,100,0,28,30,44.74,14,10,113.82,27,17,9,8,1
0,42.62,35,26,66.66,25,27,32,52.5,13,14,102.78,29,11,12,12,0
1,60.41,19,29,100,50,33,30,51.14,17,8,83,24,8,17,13,0
0,52.38,30,33,80,0,37,40,56.57,19,12,95.53,17,14,7,12,0
1,47.61,33,30,100,20,40,37,43.43,12,19,104.47,25,13,10,15,1
1,57.37,26,35,75,33.33,32,27,47.5,14,13,97.22,36,21,10,14,1
0,63.26,18,31,100,0,30,28,55.26,10,14,86.18,43,13,7,5,0
0,52.72,26,29,100,0,17,38,30,11,22,103.34,24,23,6,11,0
1,47.27,29,26,100,0,38,17,70,22,11,96.66,17,5,8,8,1
1,41.07,33,23,100,0,28,40,32.97,10,17,93.75,32,21,9,14,0
0,58.92,23,33,100,0,40,28,67.03,17,10,106.25,18,13,7,15,1
0,51.61,30,32,100,0,44,30,53.78,10,13,93.21,27,21,1,5,0
0,49.15,30,29,100,50,30,27,46.88,11,13,91.85,32,21,3,5,1
1,50,33,33,100,25,38,25,62.67,11,18,89.51,25,11,6,8,0
1,50.84,29,30,50,0,27,30,53.13,13,11,108.15,24,18,12,14,0
1,47.27,29,26,0,0,35,32,50,18,17,87.5,25,12,8,12,0
1,48.38,32,30,100,0,30,44,46.22,13,10,106.79,25,16,4,9,1
0,50,33,33,75,0,25,38,37.33,18,11,110.49,25,13,12,4,1
0,52.72,26,29,100,0,32,35,50,17,18,112.5,22,19,6,3,1
0,49.27,35,34,0,66.66,41,30,53.13,21,15,92.74,43,16,8,8,1
1,52.3,31,34,66.66,25,24,30,54.65,19,10,105.23,25,14,3,16,1
1,50.72,34,35,33.33,100,30,41,46.88,15,21,107.26,24,20,12,11,0
0,47.69,34,31,75,33.33,30,24,45.35,10,19,94.77,23,16,4,7,0
0,41.07,33,23,50,25,17,36,31.03,6,24,98.05,33,14,6,9,0
1,58.92,23,33,75,50,36,17,68.97,24,6,101.95,26,13,6,9,1
0,53.33,28,32,33.33,0,39,29,53.93,18,10,108.57,15,12,5,7,1
1,43.1,33,25,100,0,35,28,54.26,11,15,102.38,22,11,11,7,1
0,44.23,29,23,75,0,30,40,34.07,8,17,101.81,15,14,4,6,0
1,46.66,32,28,100,66.66,29,39,46.07,10,18,91.43,22,13,7,14,0
0,56.89,25,33,100,0,28,35,45.74,15,11,97.62,17,15,5,14,0
1,55.76,23,29,100,25,40,30,65.93,17,8,98.19,23,11,2,6,1
0,43.63,31,24,50,0,42,31,57.45,18,13,92.31,46,10,7,6,0
0,59.09,27,39,75,0,38,31,53.13,15,23,87.57,19,14,3,1,0
1,40.9,39,27,100,25,31,38,46.88,23,15,112.43,19,17,6,7,1
1,56.36,24,31,100,50,31,42,42.55,13,18,107.69,39,11,14,13,1
1,50,22,22,100,50,35,24,62.24,15,7,98.58,17,16,9,9,1
0,47.69,34,31,66.66,50,20,33,41.11,10,23,104.86,20,15,7,4,0
1,51.78,27,29,100,0,25,27,54.46,15,13,97.02,26,17,10,11,0
1,50,36,36,75,75,31,30,56.12,20,14,88,40,10,8,3,0
0,48.21,29,27,100,0,27,25,45.54,13,15,102.98,20,24,15,10,1
0,55.81,19,24,100,66.66,27,23,42.35,7,7,104.76,22,16,8,8,1
1,52.38,30,33,100,50,49,33,56.59,18,18,105,16,19,4,18,1
1,52.3,31,34,50,33.33,33,20,58.89,23,10,95.14,22,17,10,4,1
0,47.61,33,30,50,0,33,49,43.41,18,18,95,37,18,3,5,0
0,50,22,22,50,0,24,35,37.76,7,15,101.43,23,18,6,8,0
0,50,36,36,25,25,30,31,43.88,14,20,112,17,23,6,5,1
1,44.18,24,19,33.33,0,23,27,57.65,7,7,95.24,35,9,8,10,0
0,52.72,26,29,100,20,33,31,36.08,10,22,101.55,12,19,5,5,1
