gameID,tm,oppTm,wol,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2017021173,ARI,TBL,1,0,1,4,44.06,33,26,50.0,25.0,35,20,54.43,14,15,107.41,24,9,6,7
2017021170,NYR,WSH,0,1,4,2,49.05,27,26,66.66,0.0,30,33,58.62,13,14,99.67,17,9,6,15
2017021174,CHI,SJS,0,1,3,3,44.64,31,25,100.0,0.0,31,38,42.48,11,15,103.04,26,26,7,12
2017021176,CGY,LAK,0,0,3,0,50.0,25,25,40.0,0.0,23,29,52.56,17,8,100.0,31,13,1,7
2017021176,LAK,CGY,1,1,0,3,50.0,25,25,100.0,60.0,29,23,47.44,8,17,100.0,20,14,6,4
2017021173,TBL,ARI,0,1,4,1,55.93,26,33,75.0,50.0,20,35,45.57,15,14,92.59,20,14,7,8
2017021172,DET,MTL,0,0,4,2,53.84,24,28,33.33,0.0,28,31,46.15,10,13,100.76,25,20,6,17
2017021169,FLA,NYI,1,0,0,3,50.81,30,31,100.0,16.66,41,32,55.43,16,15,107.41,14,19,6,9
2017021175,VGK,COL,1,1,1,4,57.69,22,30,100.0,50.0,30,29,52.87,13,12,100.83,27,13,9,14
2017021171,CAR,OTT,1,1,1,4,58.49,22,31,100.0,0.0,30,20,61.8,21,11,104.46,21,11,11,11
2017021168,TOR,BUF,0,1,3,2,54.16,22,26,0.0,100.0,41,27,64.35,13,9,91.83,21,8,16,15
2017021168,BUF,TOR,1,0,2,3,45.83,26,22,0.0,0.0,27,41,35.65,9,13,108.17,29,19,5,11
2017021171,OTT,CAR,0,0,4,1,41.5,31,22,100.0,0.0,20,30,38.2,11,21,95.54,38,16,12,7
2017021175,COL,VGK,0,0,4,1,42.3,30,22,50.0,0.0,29,30,47.13,12,13,99.17,34,20,1,5
2017021169,NYI,FLA,0,1,3,0,49.18,31,30,83.33,0.0,32,41,44.57,15,16,92.59,14,17,5,15
2017021167,ANA,EDM,1,0,4,5,52.63,27,30,75.0,0.0,38,32,56.88,15,19,98.11,24,8,11,17
2017021167,EDM,ANA,0,1,5,4,47.36,30,27,100.0,25.0,32,38,43.12,19,15,101.89,26,19,7,15
2017021166,BOS,MIN,1,0,1,2,54.38,26,31,100.0,0.0,28,25,56.18,17,17,98.91,15,7,5,2
2017021166,MIN,BOS,0,1,2,1,45.61,31,26,100.0,0.0,25,28,43.82,17,17,101.09,9,13,4,3
2017021164,DAL,VAN,0,1,4,1,45.28,29,24,66.66,0.0,31,27,64.0,14,10,93.33,27,12,1,10
2017021165,NSH,WPG,0,0,4,4,58.44,32,45,60.0,20.0,36,47,36.08,16,20,105.58,15,14,10,8
2017021164,VAN,DAL,1,0,1,4,54.71,24,29,100.0,33.33,27,31,36.0,10,14,106.67,16,13,3,7
2017021165,WPG,NSH,1,1,4,4,41.55,45,32,80.0,40.0,47,36,63.92,20,16,94.43,29,14,4,9
2017021163,PHI,PIT,0,0,5,4,60.71,22,34,50.0,33.33,45,32,51.72,8,16,98.06,21,10,7,4
2017021163,PIT,PHI,1,1,4,5,39.28,34,22,66.66,50.0,32,45,48.28,16,8,101.94,19,9,9,10
2017021162,LAK,EDM,0,0,3,2,60.0,16,24,100.0,0.0,29,27,57.58,10,9,95.69,38,7,9,8
2017021162,EDM,LAK,1,1,2,3,40.0,24,16,100.0,0.0,27,29,42.42,9,10,104.31,26,20,11,18
2017021159,NYR,BUF,1,1,1,5,43.85,32,25,66.66,66.66,23,44,44.0,9,22,114.29,16,7,13,9
2017021159,BUF,NYR,0,0,5,1,56.14,25,32,33.33,33.33,44,23,56.0,22,9,85.71,19,10,2,10
